Date,Valeur_des_transactions,Capitalisation_Actions,Capitalisation_Obligations,BRVM_10,BRVM_Composite,Taux_BRVM_10,BRVM_PRESTIGE
04/02/2025 - 21:43,674 897 216,10 490 884 801 667,10 528 666 304 435,"140,92","279,71","+0,94 %","117,02"
03/02/2025 - 21:33,271 648 823,10 222 048 020 690,10 533 868 430 435,"139,61","277,24","-0,26 %","115,46"
31/01/2025 - 22:30,770560525,10246429134880,10543501457835,"139,98","277,90","+0,79 %","116,00"
30/01/2025 - 21:33,438807539,10165780555810,10536150670435,"138,88","275,71","-1,10 %","114,58"
29/01/2025 - 16:33,420672387,10274058080817,10537750670435,"140,42","278,65","+0,24 %","115,20"
27/01/2025 - 19:21,391 195 501,10 187 969 109 465,10 544 082 614 275,"139,06","276,31","+0,86 %","114,79"
24/01/2025 - 18:43,501 520 356,10 105 118 022 872,10 559 520 114 275,"137,88","274,07","+0,19 %","113,70"
23/01/2025 - 20:03,376 000 141,10 084 378 319 112,10 572 328 397 575,"137,62","273,50","+0,48 %","113,42"
22/01/2025 - 19:43,836 150 315,9 938 332 081 462,10 571 870 898 935,"136,96","272,18","+0,06 %","113,10"
21/01/2025 - 19:33,571 440 110,9 935 209 508 822,10 575 487 443 635,"136,88","272,09","-0,13 %","112,51"
20/01/2025 - 18:43,343 558 841,9 951 009 893 822,10 581 822 140 809,"137,06","272,53","-0,39 %","113,04"
18/12/2024 - 18:43,1 768 553 413,10 004 023 764 507,10 334 155 341 400,"137,19","273,98","-0,17%","112,19"
17/12/2024 - 22:33,1 116 183 111,10 000 480 351 742,10 333 146 646 080,"137,42","273,88","-0,46 %","111,02"
16/12/2024 - 21:22,523 663 534,10 068 005 338 172,10 336 700 792 496,"138,05","275,73","-0,07 %","111,92"
13/12/2024 - 22:10,805 398 905,10 058 833 868 027,10 355 975 950 872,"138,14","275,48","+0,59 %","112,10"
10/12/2024 - 19:10,908 181 859,9 932 087 792 837,10 343 003 459 820,"137,33","274,64","-0,15 %","111,48"
22/11/2024 - 19:10,5 581 373 017,10 105 494 836 597,10 464 449 572 241,"137,50","274,87","+0,27%","112,08"
07/10/2024 - 21:22,2 247 134 757,9 678 188 160 909,10 612 305 181 182,"132,57","266,63","+0,71%","111,46"
04/10/2024 - 20:27,2 007 753 029,9 592 600 080 972,10 619 340 181 182,"131,63","264,27","-0,16%","111,88"
03/10/2024 - 20:27,3 179 530 304,9 598 514 587 274,10 619 421 181 182,"131,84","264,43","+0,29%","111,84"
02/10/2024 - 19:12,6 330 964 144,9 551 504 554 919,10 463 851 960 682,"131,46","263,14","-0,19%","110,68"
01/10/2024 - 21:19,967 176 321,9 572 885 124 749,10 465 397 843 382,"131,71","263,73","-0,05%","111,44"
30/09/2024 - 19:23,972 873 961,9 571 735 039 817,10 490 531 153 442,"131,78","263,70","-0,89%","111,51"
27/09/2024 - 20:23,972 873 961,9 629 201 187 624,10 502 786 301 522,"132,96","265,28","+0,30%","112,68"
26/09/2024 - 19:29,1 021 827 362,9 589 688 294 874,10 504 856 043 822,"132,56","264,19","+0,08%","112,58"
25/09/2024 - 20:54,320 479 879,9 591 928 860 824,10 517 372 346 922,"132,46","264,25","0,00%","113,19"
24/09/2024 - 16:54,737 896 714,9 591 118 268 447,10 517 372 346 922,"132,46","264,23","-0,30%","113,47"
23/09/2024 - 18:12,957 942 377,9 613 247 510 864,10 520 525 408 422,"132,86","264,84","+0,44%","113,88"
20/09/2024 - 20:31,592 253 089,9 483 555 376 929,10 539 584 409 422,"131,03","261,27","-0,38%","113,78"
20/09/2024 - 19:12,1 414 846 787,9 574 177 644 394,10 545 557 028 422,"132,28","263,76","+0,95%","113,56"
18/09/2024 - 19:33,1 094 829 174,9 513 703 320 869,10 541 885 209 422,"131,53","262,10","+0,08%","113,24"
18/09/2024 - 19:21,5 978 066 469,9 510 929 648 164,10 535 281 056 503,"131,43","262,02","-0,04%","114,26"
16/09/2024 - 21:33,468 357 540,9 511 715 276 429,10 535 768 627 183,"131,48","262,04","+0,25%","114,25"
13/09/2024 - 19:33,992 633 850,9 482 517 444 519,10 535 801 962 383,"131,15","261,24","+0,34%","113,24"
12/09/2024 - 19:33,7 050 338 352,9 457 734 575 464,10 538 899 964 803,"130,71","260,56","+0,61 %","114,85"
11/09/2024 - 18:33,548 192 029,9 403 896 605 992,10 542 328 127 553,"129,92","259,07","-0,18%","114,36"
10/09/2024 - 20:33,1 291 837 367,9 677 251 250 829,10 495 315 127 553,"130,15","259,54","+0,52%","114,61"
09/09/2024 - 20:31,510 993 113,9 636 057 009 732,10 367 837 617 203,"129,48","258,30","-0,41 %","114,43"
05/09/2024 - 19:33,955 688 146,9 598 446 558 754,10 373 920 951 203,"129,71","258,48","+0,25%","114,49"
04/09/2024 - 18:45,670 984 119,9 497 697 227 869,10 372 417 883 803,"129,39","257,90","+0,02%","114,72"
02/09/2024 - 19:42,316 987 556,9 513 724 946 194,10 372 417 883 803,"128,36","255,79","+0,88%","113,92"
02/09/2024 - 18:24,477 946 115,9 518 189 691 849,10 372 417 883 803,"129,36","257,93","+0,78%","115,19"
30/08/2024 - 23:33,2 239 718 501,9 310 997 584 624,10 373 650 465 325,"127,24","253,67","+0,13%","114,04"
28/08/2024 - 18:23,1 021 788 752,9 283 234 476 919,10 369 248 440 075,"126,41","251,89","+0,55%","113,14"
27/08/2024 - 19:45,499 944 876,9 320 119 029 124,10 368 132 064 075,"125,72","250,52","+0,46%","112,59"
26/08/2024 - 19:23,884 537 873,9 275 868 382 927,10 368 953 251 795,"125,15","249,33","-1,60 %","113,31"
23/08/2024 - 18:43,827 733 540,9 409 292 762 344,10 406 179 081 795,"127,18","252,92","+0,55%","113,10"
22/08/2024 - 21:33,386 398 150,9 360 344 638 439,10 400 893 987 875,"126,71","251,97","+0,18%","113,11"
21/08/2024 - 22:10,2 632 822 485,9 325 701 891 239,10 424 587 056 075,"125,84","250,67","+0,16%","112,24"
20/08/2024 - 23:15,3 298 822 602,9 308 792 202 359,10 424 600 181 075,"125,64","250,22","+0,19%","111,75"
19/08/2024 - 18:15,728 415 066,9 291 474 429 574,10 419 659 724 075,"124,45","125,40","-0,34%","111,60"
16/08/2024 - 23:33,878 942 870,9 231 231 781 394,10 447 728 250 075,"124,45","248,13","-0,34%","111,44"
13/08/2024 - 18:28,874 200 120,9 258 930 637 044,10 444 671 630 775,"124,99","248,88","+0,51%","111,44"
12/08/2024 - 19:08,1 103 568 732,9 220 907 481 517,10 444 680 470 002,"124,36","247,86","-0,30 %","112,56"
09/08/2024 - 18:33,1 144 660 774,9 246 245 423 524,10 444 180 472 002,"124,74","248,54","+2,57 %","112,79"
08/08/2024 - 18:38,761 511 580,9 031 543 865 809,10 439 028 057 022,"121,62","242,77","+0,58%","111,10"
05/08/2024 - 18:49,499 066 684,8 935 424 634 244,10 289 085 616 812,"120,19","240,18","-0,50%","110,60"
02/08/2024 - 23:42,1 109 329 299,8 977 755 161 814,10 317 725 706 812,"120,79","241,32","+1,50%","110,87"
01/08/2024 - 18:47,743 082 400,8 854 349 974 482,10 325 131 107 312,"119,00","238,00","-0,25%","110,72"
31/07/2024 - 18:37,1 644 103 946,8 878 573 543 114,10 360 081 373 612,"119,30","238,66","+0,55%","111,58"
30/07/2024 - 17:32,439 856 958,8 829 956 351 007,10 360 741 657 812,"118,65","237,35","-0,75%","111,56"
29/07/2024 - 18:26,1 114 079 336,8 889 402 708 977,10 392 357 898 023,"119,55","238,95","-0,18%","112,14"
26/07/2024 - 19:44,1 411 370 570,8 902 541 620 814,10 416 071 958 913,"119,76","239,30","+0,41%","112,87"
25/07/2024 - 20:34,264 623 451,8 865 773 777 849,10 404 731 830 063,"119,27","238,31","-0,05%","111,90"
24/07/2024 - 23:30,266 309 483,8 870 918 645 599,10 422 293 950 813,"119,33","238,45","+0,62%","112,06"
22/07/2024 - 23:34,948 420 303,8 833 440 378 729,10 422 244 538 362,"118,83","237,44","-0,87%","112,32"
19/07/2024 - 23:54,1 031 215 512,8 898 232 040 704,10 433 003 107 146,"119,87","239,18","+0,61%","112,15"
18/07/2024 - 23:47,1 086 493 499,8 850 139 313 137,10 432 000 052 746,"119,14","237,89","-0,28%","111,82"
17/07/2024 - 23:23,383 349 344,8 868 190 621 709,10 431 898 552 197,"119,47","238,38","+1,71%","110,83"
16/07/2024 - 18:35,481 519 442,8 740 475 859 459,10 444 804 960 817,"117,46","234,94","+ 1,10 %","110,71"
15/07/2024 - 18:12,371 565 544,8 652 755 046 664,10 443 650 462 617,"116,18","232,59","+0,40 %","109,83"
12/07/2024 - 23:43,680 003 035,8 618 492 278 144,10 470 684 664 617,"115,72","231,66","-0,41%","109,64"
11/07/2024 - 23:43,435 664 023,8 653 189 013 159,10 496 941 847 017,"116,20","232,60","+0,15%","109,92"
09/07/2024 - 17:13,605 202 128,8 546 404 687 894,10 515 450 938 567,"114,98","229,73","+0,16 %","108,68"
08/07/2024 - 17:47,2 917 338 692,8 553 972 031 144,10 517 659 568 567,"115,17","229,93","+0,27 %","108,08"
05/07/2024 - 23:33,260 187 094,8 537 227 322 932,10 529 775 863 867,"114,86","229,48","-0,17%","108,71"
03/07/2024 - 17:46,1 091 160 438,8 543 855 383 529,10 533 456 020 827,"114,75","229,66","-0,19 %","108,03"
02/07/2024 - 18:13,722 667 854,8 568 960 735 419,10 535 216 020 827,"114,97","230,33","+0,58 %","108,81"
01/07/2024 - 18:13,1 537 401 772,8 522 293 528 709,10 532 299 352 827,"114,31","229,08","-0,27 %","107,73"
28/06/2024 - 23:43,1 329 541 775,8 545 517 389 514,10 580 241 654 806,"114,62","229,70","+0,09%","108,16"
27/06/2024 - 18:11,1 032 136 778,8 526 415 294 749,10 563 254 335 777,"114,52","229,19","-0,21%","107,62"
26/06/2024 - 18:05,484 796 505,8 558 699 723 769,10 481 578 925 627,"114,76","230,06","-0,17%","107,81"
25/06/2024 - 23:43,730 847 569,8 564 566 508 524,10 211 204 429 852,"114,95","230,21","+0,50%","108,76"
24/06/2024 - 18:52,225 492 464,8 537 099 402 719,10 214 234 429 852,"114,38","229,48","-0,40 %","108,59"
21/06/2024 - 23:33,1 414 225 277,8 558 277 522 629,10 217 540 309 452,"114,84","230,05","-0,15%","109,20"
20/06/2024 - 23:33,356 074 397,8 567 665 541 359,10 239 378 729 352,"115,01","230,30","+0,94 %","109,25"
19/06/2024 - 18:28,939 490 216,8 492 178 174 614,10 252 816 149 352,"113,94","228,27","+0,11 %","108,08"
18/06/2024 - 23:55,1 050 411 155,8 495 140 117 559,10 243 338 480 480,"113,82","228,35","-0,38 %","109,07"
13/06/2024 - 23:49,1 654 117 229,8 466 908 810 094,10 290 308 925 444,"113,57","227,59","+0,82 %","107,86"
12/06/2024 - 18:32,2 016 764 402,8 402 245 950 374,10 293 650 681 032,"112,68","225,85","-0,03 %","106,76"
11/06/2024 - 18:15,396 512 632,8 405 940 130 154,10 291 172 018 832,"112,68","225,95","+0,16 %","107,28"
10/06/2024 - 18:15,309 904 046,8 395 549 281 689,10 290 838 685 632,"112,50","225,67","-0,35 %","107,72"
07/06/2024 - 23:54,1 165 494 160,8 412 347 406 712,10 291 709 519 662,"112,90","226,12","-0,07 %","108,48"
06/06/2024 - 18:43,9 488 603 644,8 425 476 277 634,10 275 888 602 472,"112,98","226,48","+0,51 %","108,31"
05/06/2024 - 17:45,5 049 233 752,8 385 651 287 779,10 289 379 047 472,"112,41","225,41","-0,35 %","107,70"
04/06/2024 - 17:53,725 741 128,8 377 926 739 034,10 306 150 792 022,"112,80","225,95","+0,05 %","106,34"
03/06/2024 - 17:44,452 532 507,8 377 926 739 034,10 306 150 792 022,"112,74","225,20","-0,07 %","105,93"
31/05/2024 - 23:57,1 465 929 500,8 381 544 068 769,10 307 734 065 282,"112,82","225,29","+1,14 %","105,75"
30/05/2024 - 23:57,1 018 836 556,8 280 033 547 214,10 293 099 416 982,"111,55","222,57","-1,65 %","104,58"
29/05/2024 - 17:47,652 128 335,8 156 889 795 259,10 275 994 582 860,"110,16","219,26","-0,33 %","102,92"
28/05/2024 - 17:37,3 104 412 188,8 412 287 968 209,10 301 266 515 782,"113,43","226,12","+0,81 %","104,93"
27/05/2024 - 19:36,1 592 581 775,8 356 319 326 224,10 306 669 536 205,"112,52","224,62","+0,02 %","104,28"
24/05/2024 - 23:56,1 873 000 599,8 349 914 184 059,10 310 682 502 932,"112,50","224,44","+1,44 %","104,34"
23/05/2024 - 18:25,1 001 608 932,8 238 380 965 679,10 299 982 206 592,"110,90","221,45","+0,34 %","102,46"
22/05/2024 - 18:53,1 122 615 821,8 209 963 643 579,10 311 857 208 592,"110,52","220,68","+0,65 %","101,93"
21/05/2024 - 19:43,707 838 307,8 165 188 930 117,10 239 311 003 892,"109,81","219,48","-0,28 %","101,82"
17/05/2024 - 23:53,453 626 467,8 189 265 018 824,10 245 548 856 630,"110,12","220,13","+ 0,39 %","101,99"
16/05/2024 - 23:53,1 046 819 994,8 162 273 730 027,10 248 230 887 823,"109,69","219,40","-0,44 %","102,24"
15/05/2024 - 18:35,1 482 692 655,8 192 158 326 829,10 266 058 887 823,"110,17","220,20","-1,34 %","103,10"
14/05/2024 - 23:25,2 275 599 483,8 281 934 340 724,10 222 233 756 530,"111,67","222,62","+1,29 %","104,07"
10/05/2024 - 23:45,1 382 991 053,8 181 352 053 549,10 270 769 887 770,"110,27","219,91","-0,13 %","103,56"
08/05/2024 - 18:40,2 553 966 726,8 196 964 676 824,10 267 013 649 670,"110,41","220,33","+0,65 %","104,45"
07/05/2024 - 18:05,675 333 383,8 145 519 657 642,10 267 013 649 670,"109,70","218,95","-0,22 %","103,64"
06/05/2024 - 22:56,382 436 049,8 152 812 091 819,10 276 025 040 920,"109,94","219,15","-0,04 %","102,53"
03/05/2024 - 23:54,968 441 202,8 154 581 339 262,10 281 590 040 920,"109,98","219,19","-0,38 %","103,10"
02/05/2024 - 17:54,425 462 099,8 181 650 896 189,10 273 513 557 920,"110,40","219,92","-0,40 %","104,38"
30/04/2024 - 23:44,1 326 300 790,8 209 307 507 166,10 276 723 557 920,"110,84","220,67","+0,62 %","104,42"
29/04/2024 - 18:24,652 128 335,8 156 889 795 259,10 275 994 582 860,"110,16","219,26","-0,33 %","102,92"
26/04/2024 - 23:34,459 866 571,8 153 726 060 986,10 277 840 231 760,"110,31","219,17","+0,75 %","102,78"
24/04/2024 - 18:04,1 724 215 785,8 088 251 261 046,10 290 146 430 440,"109,49","217,41","-0,64 %","101,64"
23/04/2024 - 18:17,1 676 147 002,8 145 235 989 021,10 314 983 687 298,"110,20","218,94","+0,36 %","102,47"
22/04/2024 - 18:48,4 554 213 817,8 116 831 430 386,10 320 400 843 841,"109,80","218,18","-0,27 %","102,16"
19/04/2024 - 20:07,1 186 432 086,8 132 289 244 401,10 347 173 356 271,"110,10","218,60","-0,27 %","102,23"
18/04/2024 - 23:07,1 793 046 941,8 152 682 466 716,10 329 294 548 833,"110,40","219,14","-0,15 %","102,40"
17/04/2024 - 18:07,579 380 751,8 160 927 326 841,10 332 430 468 013,"110,57","219,36","+0,48 %","102,58"
16/04/2024 - 20:35,3 921 461 936,8 111 096 021 566,10 351 141 916 695,"110,04","218,03","-0,37 %","102,33"
15/04/2024 - 21:11,349 680 171,8 152 907 803 691,10 246 425 608 425,"110,45","219,15","+0,49 %","102,68"
12/04/2024 - 23:18,850 653 052,8 122 676 502 501,10 256 452 444 615,"109,91","218,34","-0,06 %","102,88"
11/04/2024 - 18:19,439 179 877,8 139 417 956 921,10 253 173 809 875,"109,98","218,79","+0,06 %","103,41"
09/04/2024 - 23:18,1 048 520 595,8 132 045 973 406,10 254 862 337 475,"109,91","218,59","+1,61 %","103,32"
08/04/2024 - 18:18,426 909 792,8 017 832 460 561,10 253 763 915 475,"108,17","215,52","+0,08 %","101,92"
05/04/2024 - 23:43,1 614 099 715,8 009 584 770 256,10 255 828 248 315,"108,08","215,30","-0,37 %","102,23"
04/04/2024 - 18:23,1 398 073 364,8 040 147 090 326,10 245 833 219 115,"108,48","216,12","-0,06 %","102,29"
03/04/2024 - 18:33,2 195 148 527,8 048 337 407 086,10 250 633 719 108,"108,54","216,34","+0,16 %","102,42"
02/04/2024 - 18:20,963 528 771,8 028 344 602 146,10 257 113 777 240,"108,37","215,80","+0,10 %","100,92"
29/03/2024 - 23:54,787 215 515,8 020 746 357 431,10 266 978 097 320,"108,26","215,60","-0,16 %","99,95"
28/03/2024 - 23:53,329 122 827,8 032 719 143 176,10 275 726 197 140,"100,54","215,92","+ 0,33 %","100,54"
27/03/2024 - 18:24,2 746 257 610,8 003 959 762 946,10 302 326 397 140,"108,07","215,15","+0,13 %","100,66"
26/03/2024 - 18:33,2 969 832 839,8 000 112 330 801,10 300 034 598 747,"107,93","215,04","+0,25 %","100,44"
25/03/2024 - 18:33,1 081 577 677,7 980 799 484 971,10 315 132 496 907,"107,66","214,52","+ 0,03 %","99,89"
22/03/2024 - 23:47,224 226 086,7 971 947 130 421,10 315 132 496 907,"107,63","214,29","+0,41 %",
21/03/2024 - 18:17,196 653 993,7 940 162 434 001,10 310 955 299 607,"107,19","213,43","-0,13 %","99,55"
20/03/2024 - 18:10,616 672 529,7 953 799 666 266,10 358 150 761 387,"107,33","213,80","+0,09 %","99,72"
19/03/2024 - 18:20,3 598 722 252,7 945 982 559 121,10 361 690 994 098,"107,23","213,59","-0,37 %","99,64"
18/03/2024 - 18:17,601 083 952,7 966 341 173 511,10 362 771 549 078,"107,63","214,13","+0,98 %","99,80"
16/03/2024 - 16:33,550 073 809,7 883 806 444 291,10 364 993 773 078,"106,59","211,92","-0,23 %","98,83"
13/03/2024 - 20:46,2 872 569 254,7 907 455 005 236,10 382 412 389 678,"107,02","212,55","-0,03 %","99,03"
12/03/2024 - 18:01,739 499 283,7 915 164 438 086,10 385 084 567 316,"107,05","212,76","+0,20 %","98,91"
11/03/2024 - 16:33,345 768 720,7 895 473 124 776,10 261 014 292 816,"106,84","212,23","-0,25 %","99,19"
08/03/2024 - 22:40,1 270 463 149,7 923 442 942 806,10 275 839 710 764,"107,11","212,98","+0,37 %","98,67"
07/03/2024 - 18:10,342 320 873,7 893 290 105 276,10 277 110 960 764,"106,72","212,17","+0,54 %","98,70"
06/03/2024 - 17:58,411 296 854,7 846 691 705 756,10 279 434 960 764,"106,15","210,92","-0,53 %","98,27"
05/03/2024 - 16:33,412 912 683,7 894 899 280 506,10 280 717 127 392,"106,72","212,21","-0,38 %","98,67"
04/03/2024 - 19:12,631 683 330,7 922 818 307 266,10 281 417 095 158,"107,13","212,96","+0,12 %","99,42"
01/03/2024 - 19:52,3 664 669 826,7 907 070 032 779,10 287 165 478 698,"107,00","212,54","-0,49 %","99,07"
29/02/2024 - 17:46,626 366 390,7 942 798 205 306,10 300 338 552 198,"107,53","213,50","+0,56 %","99,66"
28/02/2024 - 21:56,286 370 399,7 908 688 030 871,10 288 490 315 395,"106,93","212,58","+0,19%","99,69"
27/02/2024 - 17:52,460958670,7894078707616,10289488759195,"106,73","212,19","-0,18 %","99,36"
27/02/2024 - 17:52,460 958 670,7 894 078 707 616,10 289 488 759 195,"106,73","212,19","-0,18 %","99,36"
27/02/2024 - 17:52,460 958 670,7 894 078 707 616,10 289 488 759 195,"106,73","212,19","-0,18 %","99,36"
27/02/2024 - 17:52,460 958 670,7 894 078 707 616,10 289 488 759 195,"106,73","212,19","-0,18 %","99,36"
26/02/2024 - 17:33,1 188 858 702,7 908 401 725 581,10 296 405 755 938,"106,92","212,58","+ 0,08 %","99,91"
23/02/2024 - 17:34,1 165 061 332,7 904 436 094 909,10 301 462 398 525,"106,83","212,47","+0,54%","100,28"
22/02/2024 - 22:50,509 137 904,7 869 445 477 67,10 298 204 813 075,"106,26","211,53","+0,62 %","99,53"
21/02/2024 - 17:42,904 171 824,7 826 834 404 746,10 292 023 563 075,"105,61","210,38","-0,23 %","98,27"
20/02/2024 - 17:15,622 546 292,7 838 284 394 621,10 292 023 563 075,"105,85","210,69","+1,02 %","99,42"
20/02/2024 - 17:15,622 546 292,7 838 284 394 621,10 292 023 563 075,"105,85","210,69","+1,02 %","99,42"
19/02/2024 - 18:40,448 078 334,7 770 897 766 054,10 298 900 841 315,"104,78","208,88","-0,42 %","98,03"
16/02/2024 - 23:01,680 572 772,7 800 646 459 871,10 314 380 479 315,"105,22","209,68","+ 0,16 %","98,56"
15/02/2024 - 20:11,1 366 442 533,7 789 137 764 811,10 315 323 183 436,"105,05","209,37","+ 0,07 %","98,38"
14/02/2024 - 18:10,455 370 235,7 781 854 068 646,10 315 709 729 226,"104,98","209,18","+ 0,47 %","98,95"
13/02/2024 - 22:48,1 105 626 806,7 748 076 464 901,10 307 941 900 026,"104,49","208,27","+0,17 %","98,06"
09/02/2024 - 18:38,2 134 866 490,7 732 857 321 571,10 321 161 687 662,"104,31","207,86","0,00 %","97,41"
08/02/2024 - 20:02,153 126 943,7 734 887 899 526,10 317 347 365 862,"104,31","207,91","+0,41 %","97,09"
07/02/2024 - 17:16,316 952 529,7 706 747 373 876,10 317 878 574 862,"103,88","207,16","-0,17 %","96,63"
06/02/2024 - 17:16,316 952 529,7 706 747 373 876,10 317 878 574 862,"103,88","207,16","-0,17 %","96,63"
05/02/2024 - 19:06,380 196 980,7 731 225 402 986,10 200 284 867 582,"104,18","207,81","-0,11 %","96,49"
02/02/2024 - 23:56,613 393 372,7 733 833 715 356,10 200 284 867 582,"104,29","207,88","+0,27 %","96,75"
01/02/2024 - 18:06,301 413 632,7 715 905 974 736,10 194 346 342 532,"104,01","207,40","-0,20 %","96,65"
31/01/2024 - 19:10,184 034 654,7 724 822 424 116,10 201 694 094 032,"104,22","207,64","+0,07 %","96,78"
30/01/2024 - 20:57,221 916 161,7 718 180 252 311,10 201 673 509 532,"104,15","207,46","-0,16 %","96,33"
30/01/2024 - 20:57,221 916 161,7 718 180 252 311,10 201 673 509 532,"104,15","207,46","-0,16 %","96,33"
29/01/2024 - 11:31,941 303 500,7 728 968 457 521,10 201 673 509 532,"104,32","207,75","-0,08 %","96,66"
25/01/2024 - 18:41,154 817 369,7 762 981 459 266,10 212 018 426 132,"104,88","208,67","+0,44 %","98,07"
24/01/2024 - 19:10,389 064 187,7 728 881 131 436,10 212 617 651 232,"104,42","207,75","-0,44 %","97,93"
22/01/2024 - 06:33,898 115 175,7 758 377 536 111,10 213 445 241 675,"104,95","208,54","-0,06 %","98,94"
30/11/2022 - 16:33,48646464,653265985632,854594164,4784,54545,554,7956656
23/11/2022 - 20:33,1173815864,11635611066659,10540276564936,"151,41","301,74","-0,26 %","126,83"
